advertiserid keyword bid
1 333 com 0.88
2 338 com 1.52
3 367 com 1.82
4 481 to 0.98
5 496 to 1.29
6 499 to 0.83
7 528 to 0.71
8 566 i 0.95
9 599 t 1.62
10 606 t 1.62
11 627 t 1.8
12 647 com 1.43
13 676 21 0.71
14 35 to 1.86
15 82 0 1.71
16 104 to 0.99
17 105 0 0.72
18 115 0 1.87
19 117 0 1.08
20 121 0 0.63
21 124 0 1.87
22 154 to 0.91
23 187 com 1.66
24 193 hot 1.9
25 223 com 1.03
26 236 com 1.8
27 1311 t 1.41
28 1326 t 0.98
29 720 t 1.03
30 735 t 1.86
31 820 in 1.52
32 861 photo 1.01
33 873 in 0.62
34 878 photos 1.57
35 888 in 1.43
36 898 in 1.16
37 941 32 0.71
38 941 in 1.1
39 945 i 1.1
40 974 i 1.84
41 976 in 1.33
42 980 photos 0.89
43 983 to 1.31
44 985 to 0.83
45 1044 3 1.76
46 1056 4 1.85
47 1096 4 0.92
48 1115 to 0.78
49 1116 to 0.64
50 1117 to 1.67
51 1119 to 0.82
52 1190 t 0.97
53 1197 t 1.88
54 1218 t 1.57
55 1238 com 1.63
